"Nº","ALIMENTOS","ESTADO","CALORIAS","PROTEINA","GRASA","CARBOHIDRATOS","AGUA","CENIZAS","A (UI)","B1 (mcg/100)","B2 (mcg/100)","C (mcg/100)","Niac (mcg/100)","Na (mg/100g)","K  (mg/100g)","Ca  (mg/100g)","Mg  (mg/100g)","Fe  (mg/100g)","Cu  (mg/100g)","P  (mg/100g)","S  (mg/100g)","Cl  (mg/100g)","Fen  (mg/100g)","Ileu  (mg/100g)","Leu  (mg/100g)","Lis  (mg/100g)","Met  (mg/100g)","Tre  (mg/100g)","Tri  (mg/100g)","Val  (mg/100g)","ACIDEZ","ALCAINIDAD"
"443","costillas","frito","296","27.5","20.1","4.4","46.8","1.2","","172","262","","5500","72.00","435.00","11.50","25.10","2.80","","283.00","329.00","112.00","","","","","","","","","246",""
"444","filete","crudo ","108","20.1","2.7","","","","","","","","","107.00","357.00","7.60","25.00","2.30","","258.00","220.00","68.00","","","","","","","","","161",""
"445","filete","asado","232","30.5","11.5","","55.1","","","","","","","97.00","427.00","14.30","27.60","2.50","","355.00","330.00","113.00","","","","","","","","","285",""
"446","higado","crudo ","134","18.7","5.2","3.6","71.1","1.4","22000","190","2800","32000","14000","(1) 93","342.00","11.20","21.70","11.00","6.80","313.00","243.00","100.00","947","987","1762","1418","439","897","291","1202","156",""
"447","higado","cocido","167","20.7","7","4.7","66.1","1.5","21000","130","2300","15000","11000","(2) 91","336.00","19.00","20.10","12.00","5.90","350.00","264.00","135.00","889","928","1651","1329","418","851","266","1132","272",""
"448","higado","frito","237","26.5","13.3","3.7","55","1.5","24000","155","3000","18030","15000","120.00","407.00","9.30","23.80","19.00","","480.00","431.00","120.00","","","","","","","","","495",""
"449","lechecillas","crudo ","103","17.6","3.8","","77.5","1.1","","148","230","","4000","57.00","215.00","11.70","12.10","1.40","","543.00","176.00","68.00","","","","","","","","","87",""
"450","lechecillas","estofado","162","22.7","8.1","","68","1.2","17","80","230","44000","3000","78.00","307.00","12.20","15.40","1.40","","480.00","185.00","74.00","","","","","","","","","117",""
"451","lengua","estofado","190","15.9","14.8","0.1","68.3","0.9","","","","","","56.00","67.00","16.00","12.00","2.50","","172.00","98.00","50.00","","","","","","","","","142",""
"452","promedio","","184","19.1","12","","","","","","","","","89.00","359.00","12.00","23.00","2.40","","221.00","203.00","","","","","","","","","","",""
"453","riñon","cocido","102","15.4","4.8","","78","1.2","750","350","2200","10000","7000","223.00","215.00","10.40","16.40","8.30","","192.00","1245.00","234.00","","","","","","","","","264",""
"454","riñon","frito","182","14.8","15.3","","68.5","1.1","","","","","","216.00","208.00","10.40","14.20","12.20","","203.00","128.00","215.00","","","","","","","","","297",""
"455","sesos","cocido","115","10.3","8.3","0.8","79.4","1.2","","430","175","18000","4300","135.00","305.00","13.00","13.30","2.00","","340.00","132.00","167.00","","","","","","","","","207",""
"456","solomillo","crudo ","93","19.3","1.6","2.3","75.7","1.1","","110","220","","1600","70.00","251.00","16.00","19.00","1.80","","222.00","191.00","71.00","","","","","","","","","197",""
"457","solomillo","asado","192","28.7","8.5","3.2","58.3","1.3","","142","210","","6700","140.00","720.00","12.10","30.00","3.30","","252.00","282.00","96.00","1118","1461","2025","2308","642","1203","371","1416","193",""
"458","solomillo","frito","268","23.8","20.1","","54","1.2","","148","213","","7100","133.00","368.00","7.90","31.00","2.60","","265.00","271.00","75.00","968","1271","1762","1997","538","1038","307","1237","176",""
"459","tripas","cocido","99","18","3.4","","77.2","1.2","","","","","","72.00","9.00","12.40","7.90","1.60","","132.00","145.00","30.00","","","","","","","","","81",""
"460","Bistec","crudo","177","19.2","10.5","","68.8","","","","","","","69.00","334.00","5.40","24.50","4.30","","276.00","202.00","70.00","","","","","","","","","185",""
"461","Bistec","frito","273","20.4","20.4","","56.9","","","","","","","80.00","371.00","5.20","24.80","6.00","","257.00","216.00","90.00","","","","","","","","","173",""
"462","Carne","crudo","140","18.2","7.5","0.3","72.9","1.1","88","95","240","1500","5000","69.00","334.00","7.80","24.50","4.30","","276.00","202.00","70.00","","","","","","","","","185",""
"463","Carne","congelado","142","20.3","7.3","","71.1","1.3","","","","","","74.00","350.00","8.00","25.00","3.70","0.16","200.00","215.00","74.00","","","","","","","","","137",""
"464","Carne semigrasa","crudo","246","17.1","16.2","0.3","60","","88","175","270","","6000","48.00","235.00","9.00","24.00","2.30","","167.00","245.00","63.00","","","","","","","","","237",""
"465","Carne semigrasa","asado","355","18.1","25.2","","63.9","","","100","120","","4000","","","9.00","","2.30","","167.00","","","","","","","","","","","",""
"466","Carne semigrasa","cocido","210","32.5","8.2","0.4","58.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"467","Corazon","crudo","112","17.2","4.6","0.7","75.8","","100","498","830","7500","7100","110.00","270.00","9.50","27.00","4.80","","218.00","296.00","122.00","758","836.00","1501.00","1398.00","412.00","771.00","219.00","969.00","91",""
"468","Costilla","cocido","280","26.3","5.8","","","","","50","200","","3600","","","","","","","","","","1013","1405","2135","2238","677","1114","298","1450","",""
"469","Falda","cocido","413","18.1","38","","","","","40","200","","3000","56.00","290.00","12.00","13.00","","","129.00","","","731","928","1467.00","1558.00","441.00","758.00","209.00","978.00","",""
"470","Higado","crudo","130","20","3.5","3.8","71.2","1.5","22000","310","1980","32000","14000","(1)85","329.00","7.70","26.00","11.00","2.08","370.00","330.00","89.00","988","1027.00","1804.00","1468.00","453.00","942.00","303.00","1241.00","147",""
"471","Higado","cocido","148","23","7.8","4","77.7","1.5","","145","210","","","88.00","355.00","8.30","25.20","16.80","","516.00","410.00","78.00","","","","","","","","","351",""
"472","Higado","frito","229","26","9.1","9.5","53.8","1.6","53000","280","3200","30000","15000","92.00","384.00","8.80","23.00","9.80","","512.00","410.00","82.00","1177","1232.00","2171.00","1761.00","548.00","257.00","347.00","1468.00","409",""
"473","Lengua","crudo","210","15.8","16.3","0.4","66.4","1.1","","220","340","","5000","56.00","147.00","17.00","12.00","5.10","","163.00","184.00","57.00","597","732.00","1177.00","1248.00","331.00","658.00","178.00","767.00","108",""
"474","Lengua","cocido","239","19.3","15.3","0.5","63.7","1.2","","116","210","","4500","97.00","207.00","21.00","26.20","3.00","","206.00","200.00","91.00","668","797.00","1289.00","1348.00","347.00","711.00","189.00","850.00","236",""
"475","Promedio","cocido","268","17.5","22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"476","Riñon","crudo","122","16.2","6","0.8","76.1","0.9","810","316","2100","12000","6600","242.00","233.00","9.00","19.00","8.20","","230.00","180.00","250.00","698","725.00","1297.00","1090.00","299.00","671.00","218.00","882.00","103",""
"477","Riñon","cocido","165","27","5.4","","66.8","0.8","","","","","","164.00","164.00","20.80","22.40","7.10","","392.00","242.00","144.00","","","","","","","","","305",""
"478","sangre","crudo","77","18.1","0.2","","80.8","","","","1800","","25000","10000.00","2200.00","","","","","","","","","","","","","","","","",""
"479","sesos","crudo","120","10","8.5","0.8","81","","","232","245","18000","4500","110","305.00","11.00","","2.00","","351.00","","","509","508","847","768","2242","510","142","551","",""
"480","sesos","cocidos","126","10.4","9.2","","78.6","","","","","","","147","270.00","16.00","13.3","1.50","","355.00","132","167","","","","","","","","","207",""
"481","solomillo","crudo","120","21","3.9","0.6","73.3","1.2","150","270","260","1250","3600","42","162.00","8.20","20.00","3.60","","170.00","257.00","68","","","","","","","","","201",""
"482","solomillo","asado","214","25.3","12.1","1","60.3","1.3","","58","170","","4100","68","370.00","9.00","23.00","2.80","0.20","210.00","281.00","66","1039","1319.00","2077.00","2218.00","629.00","1118.00","302.00","1408.00","230",""
"483","solomillo","cocido","172","22","9.1","","67.7","1.2","","61","182","","4000","46","220.00","10.10","25.90","4.10","","185.00","345.00","49","769","978","1557","1672","478","127","218","1028","289",""
"484","solomillo","frito","279","19.1","23.2","","56.3","1.4","","100","130","","4500","80","371.00","8.00","24.80","4.70","0.05","222.00","216.00","90","","","","","","","","","173",""
"485","tripas","crudo","96","17","2","0.15","79","","","10","93","","2500","53","18","73.00","7.9","1.4","","132","145","30","","","","","","","","","81",""
"486","Butifarra","Natural","150.00","9.80","13.40","","71.20","3.20","150.00","90.00","70.00","","5000.00","","","10.00","","","","","","","","","","","","","","","",""
"487","Chorizo","natural","614.00","13.60","70.20","","8.10","1.80","","","","","","","","","","","","","","","","","","","","","","","",""
"488","Chorizo","frito","360.00","19.60","60.80","","7.30","2.00","","","","","","","","","","","","","","","","","","","","","","","",""
"489","Morcilla","natural","258.00","5.30","22.50","14.70","55.80","1.50","100.00","","","","","","130.20","31.50","15.50","19.50","0.26","27.00","173.00","","","","","","","","","","44",""
"490","Morcilla","cocido","335.00","13.70","29.10","15.30","40.30","1.60","","","","","","","141.00","22.00","18.10","12.00","0.31","92.00","196.00","","","","","","","","","","59",""
"491","Morcilla","frita","453.00","13.90","42.90","15.90","25.70","1.60","300.00","90.00","48.00","","4800.00","","143.00","28.00","17.60","24.90","0.30","28.10","185.00","","","","","","","","","","63",""
"492","salchicha de cerdo","natural","390.00","9.80","36.30","9.80","58.50","1.60","","150.00","160.00","","2300.00","69.00","197.00","9.20","11.50","1.90","0.12","178.00","73.00","","","","","","","","","","25",""
"493","salchicha de cerdo","cocida","360.00","16.50","28.60","7.00","46.20","1.70","","360.00","240.00","","3200.00","","189.00","14.00","12.10","2.60","0.14","123.00","82.00","","","","","","","","","","29",""
"494","salchicha de cerdo","frita","326.00","13.40","29.30","12.70","42.80","1.80","","100.00","130.00","","4200.00","","205.00","15.00","14.90","2.80","0.15","161.00","95.00","","","","","","","","","","36",""
"495","salchicha de vaca","natural","140.00","9.10","8.30","10.50","70.20","1.60","","","","","","","226.00","18.40","15.36","3.80","0.16","153.00","141.00","","","","","","","","","","97",""
"496","salchicha de vaca","cocida","210.00","15.60","12.10","13.60","56.70","1.80","","","","","","","242.00","20.90","15.80","4.00","0.17","160.00","158.00","","","","","","","","","","115",""
"497","salchicha de vaca","frita","264.00","13.80","18.40","15.70","50.10","1.90","","","","","","","255.00","21.20","16.60","4.10","0.17","168.00","163.00","","","","","","","","","","129",""
"498","salchicha de Frankfurt","natural","248.00","14.00","20.00","2.00","62.00","2.00","","160.00","180.00","","2500.00","1100.00","219.00","6.00","","1.20","","50.00","","","508","681","997","1118","302","567","121","698","",""
"499","Salchichon","Natural","430.00","20.30","36.70","0.10","40.80","2.10","120.00","165.00","240.00","","3900.00","","","10.00","","3.60","","260.00","","","","","","","","","","","",""
"500","Capon","crudo","158.00","18.70","9.30","","70.80","1.20","","85.00","170.00","","10800.00","91.00","372.00","16.00","22.60","2.70","","240.00","315.00","85.00","808","1092","1487","1805","528","881","248","1007","193",""
"501","capon","asado","238.00","22.70","18.60","","57.20","1.30","","","","","","115.00","428.00","18.10","24.40","3.30","","295.00","300.00","96.00","","","","","","","","","215",""
"502","codoriz","crudo","175.00","16.70","11.80","","69.90","1.60","","220.00","360.00","8000.00","","40.00","170.00","18.00","","3.20","","263.00","","","","","","","","","","","",""
"503","codoriz","estofado","230.00","18.50","19.10","","60.60","1.70","","","","","","","","","","","","","","","","","","","","","","","",""
"504","codoriz","asado","240.00","19.30","20.30","","58.50","1.70","","100.00","90.00","","","","","","","","","","","","","","","","","","","","",""
"505","Faisan","crudo","138.00","22.00","5.30","0.50","71.10","1.10","","185.00","215.00","","","91.00","375.00","28.00","31.20","5.70","","268.00","271.00","89.00","","","","","","","","","172",""
"506","Faisan","estofado","250.00","28.60","17.20","","52.80","1.20","","","","","","96.00","389.00","46.20","33.10","7.80","","294.00","286.00","93.00","","","","","","","","","185",""
"507","Faisan","asado","256.00","30.80","14.30","","53.90","1.30","","75.00","35.00","","","104.00","411.00","49.30","35.00","8.40","","308.00","306.00","108.00","","","","","","","","","216",""
"508","Gallina Joven","crudo","112.00","21.00","2.20","","73.20","1.10","","800.00","210.00","","5800.00","142.00","185.00","12.00","42.00","3.20","","180.00","291.00","240.00","","","","","","","","","243",""
"509","Gallina Vieja","crudo","302.00","17.00","24.00","","","","","80.00","160.00","","7500.00","68.00","290.00","12.00","","1.30","","197.00","","","698","960","1298","1578","467","764","208","876","",""
"510","Gallina Vieja","asado","194.00","30.10","7.10","","59.10","","","45.00","145.00","","550.00","","","14.00","","1.30","","240.00","","","","","","","","","","","",""
"511","Ganso","crudo","320.00","15.60","26.20","","7.30","0.90","","140.00","220.00","13000.00","4500.00","92.00","392.00","8.60","27.30","2.86","","186.00","286.00","133.00","","","","","","","","","152",""
"512","Ganso","asado","322.00","24.00","26.10","","48.70","1.20","","65.00","","","","145.00","406.00","10.40","30.80","4.60","","267.00","319.00","169.00","","","","","","","","","215",""
"513","Paloma","crudo","135.00","20.40","12.00","0.50","46.70","0.40","","175.00","255.00","9000.00","5000.00","61.00","296.00","16.00","28.30","4.40","","348.00","224.00","71.00","","","","","","","","","216",""
"514","Paloma","estofado","212.00","24.50","13.20","","61.60","0.70","","","","","","74.00","299.00","17.60","31.20","9.80","","352.00","243.00","75.00","","","","","","","","","257",""
"515","Paloma","asado","212.00","26.90","10.40","","55.60","5.90","","","","","","105.00","410.00","16.30","36.80","19.40","","404.00","302.00","99.00","","","","","","","","","291",""
"516","Pato","crudo","232.00","17.40","17.20","","64.30","1.10","","125.00","400.00","7800.00","7500.00","127.00","286.00","14.00","18.90","3.00","","185.00","336.00","142.00","628","827","1236","1378","402","698","165","765","196",""
"517","Pato","asado","196.00","22.80","23.60","","52.30","1.30","","50.00","75.00","","","195.00","319.00","19.00","23.90","5.80","","231.00","395.00","158.00","","","","","","","","","244",""
"518","Pavo","crudo","184.00","18.50","19.00","0.50","60.80","1.20","","105.00","165.00","","7800.00","112.00","332.00","26.00","24.00","3.60","","305.00","226.00","118.00","799","1048","1537","1817","561","847","","986","114",""
"519","Pavo","asado","200.00","27.10","12.10","","59.40","1.40","0.20","62.00","94.00","","9800.00","130.00","367.00","39.30","28.20","4.60","","360.00","234.00","123.00","1228","1607","2340","2768","848","1293","","1514","195",""
"520","Perdiz","crudo","120.00","22.20","3.80","0.50","72.10","1.40","","170.00","55.00","","","93.00","386.00","39.60","31.30","6.80","","287.00","371.00","81.00","","","","","","","","","215",""
"521","Perdiz","asado","217.00","35.20","8.80","","54.50","1.50","","95.00","10.00","","","100.00","407.00","45.80","36.00","7.70","","303.00","399.00","99.00","","","","","","","","","279",""
"522","Perdiz","estofado","218.00","36.10","9.60","","52.50","1.60","","","","","","121.00","416.00","51.30","37.10","8.10","","316.00","401.00","106.00","","","","","","","","","248",""
"523","Pintada","crudo","210.00","32.50","8.20","","56.90","","","","","","","136.00","430.00","19.20","28.70","9.30","","292.00","363.00","179.00","","","","","","","","","263",""
"524","Pollo","crudo","117.00","18.00","3.10","3.00","75.10","0.80","100.00","520.00","230.00","2000.00","5500.00","78.00","349.00","11.20","23.50","2.20","","235.00","268.00","693.00","817","1088","1507","1842","537","902","247","1015","142",""
"525","Pollo","cocido","186.00","25.80","9.10","0.20","64.00","0.90","","30.00","125.00","","5300.00","98.00","381.00","12.00","26.40","1.90","","187.00","293.00","62.00","819","1103","1498","1827","539","891","249","1018","207",""
"526","Pollo","asado","189.00","27.30","9.20","","38.60","0.90","","100.00","195.00","","8400.00","80.00","355.00","14.70","23.00","2.30","","260.00","324.00","100.00","807","1095","1507","1808","542","882","248","1018","254",""
"527","Pollo (corazon)","crudo","156.00","19.70","6.90","1.70","72.00","","30.00","125.00","890.00","5800.00","5000.00","","","21.00","","1.80","","139.00","","","919","1038","1827","1690","491","938","257","1178","",""
"528","Pollo (higado)","crudo","136.00","20.80","4.00","2.90","70.70","1.70","28000.00","220.00","2380.00","24000.00","12000.00","72.00","160.00","17.00","","7.30","","220.00","","","1108","1147","2035","1649","517","1046","328","1381","",""
"529","Pollo (higado)","cocido","241.00","28.30","12.10","3.40","55.00","","40000.00","170.00","3000.00","12000.00","14000.00","","","20.00","","8.00","","297.00","","","1398","1405","2532","1979","631","1359","409","1688","",""
"530","Ciervo","Crudo","116.00","18.20","4.00","0.60","84.10","1.10","","320.00","320.00","","7400.00","203.00","331.00","20.00","31.00","5.90","","193.00","268.00","58.00","","","","","","","","","209",""
"531","Ciervo","Asado","180.00","30.20","4.40","","63.10","1.30","","240.00","1875.00","","7100.00","86.00","364.00","26.00","33.40","4.90","","276.00","321.00","89.00","","","","","","","","","238",""
"532","Cobaya","Crudo","86.00","19.20","1.70","","","","","60.00","140.00","","6000.00","","","30.00","","1.80","","248.00","","","","","","","","","","","",""
"533","Conejo","Crudo","128.00","16.50","6.60","0.40","75.30","1.20","50.00","85.00","60.00","2600.00","8000.00","32.00","215.00","12.00","26.00","2.40","0.20","145.00","212.00","45.00","1325","502","1927","1158","392","1522","","1525","180",""
"534","Conejo","Asado","218.00","29.10","12.80","","56.80","1.20","","","","","","36.00","204.00","10.90","21.20","1.90","0.19","190.00","241.00","41.00","","","","","","","","","197",""
"535","Conejo","Estofado","181.00","27.60","7.80","","63.30","1.30","","100.00","140.00","","6500.00","36.00","210.00","11.30","21.70","2.00","0.20","200.00","245.00","43.00","","","","","","","","","291",""
"536","Corzo","Crudo","116.00","18.30","4.00","0.40","76.30","1.00","","320.00","180.00","","","83.00","320.00","14.80","25.30","4.90","","240.00","293.00","67.00","","","","","","","","","155",""
"537","Corzo","Asado","168.00","29.00","5.70","2.00","78.20","1.10","","160.00","50.00","","","91.00","341.00","19.10","26.40","7.30","","274.00","316.00","75.00","","","","","","","","","218",""
"538","Jabali","Crudo","158.00","16.00","11.20","0.40","71.20","1.20","","","","","","","","","","","","","","","","","","","","","","","",""
"539","Jabali","Asado","460.00","29.50","43.20","","25.80","1.30","","","","","","","","","","","","","","","","","","","","","","","",""
"540","Liebre","Crudo","128.00","19.80","5.40","0.50","73.10","1.20","","88.00","115.00","","8500.00","41.00","196.00","16.00","18.60","4.70","","208.00","298.00","65.00","","","","","","","","","208",""
"541","Liebre","Asado","219.00","36.20","7.30","0.20","54.80","1.50","","65.00","20.00","","","53.00","403.00","28.20","30.00","9.80","0.24","337.00","347.00","108.00","","","","","","","","","300",""
"542","Liebre","Estofado","209.00","29.40","10.20","","59.10","1.30","","","","","","40.00","211.00","20.70","22.20","10.80","","248.00","320.00","74.00","","","","","","","","","281",""
